Date,Close/Last,Volume,Open,High,Low
04/04/2025,$162.24,2504606,$168.00,$171.58,$161.22
04/03/2025,$166.83,3022273,$163.65,$167.48,$162.27
04/02/2025,$163.95,1644914,$169.97,$171.25,$163.43
04/01/2025,$169.62,951002,$171.69,$172.195,$168.52
03/31/2025,$171.03,1759465,$170.75,$172.77,$169.35
03/28/2025,$169.86,1075214,$172.00,$173.55,$169.23
03/27/2025,$170.62,754888,$169.80,$171.55,$168.01
03/26/2025,$168.52,1123261,$165.09,$169.70,$165.09
03/25/2025,$165.23,1409434,$167.54,$167.54,$164.43
03/24/2025,$168.01,1475462,$166.85,$168.74,$164.51
03/21/2025,$167.18,3047098,$164.26,$167.8599,$164.26
03/20/2025,$164.47,1696752,$167.25,$167.78,$163.7976
03/19/2025,$167.35,1705170,$167.77,$168.55,$165.65
03/18/2025,$169.42,991871,$170.76,$171.70,$168.765
03/17/2025,$170.49,997919,$170.00,$172.17,$168.85
03/14/2025,$170.22,1357591,$171.59,$175.00,$170.09
03/13/2025,$171.94,1543479,$170.59,$174.2269,$170.59
03/12/2025,$170.94,2591637,$177.01,$177.01,$170.65
03/11/2025,$179.54,2256810,$185.99,$186.49,$179.22
03/10/2025,$186.36,2902776,$186.92,$193.3865,$185.71
03/07/2025,$185.06,2806471,$179.78,$189.48,$179.615
03/06/2025,$180.01,1015577,$178.57,$180.2775,$176.0201
03/05/2025,$177.03,1186129,$176.33,$178.60,$175.08
03/04/2025,$176.38,2605402,$180.95,$184.25,$176.26
03/03/2025,$178.50,1790787,$173.00,$179.12,$173.00
02/28/2025,$172.71,2540847,$173.79,$175.76,$171.42
02/27/2025,$172.34,1464534,$170.74,$172.49,$169.56
02/26/2025,$171.29,3221512,$177.53,$177.75,$170.3878
02/25/2025,$178.65,2733405,$177.84,$181.92,$177.01
02/24/2025,$177.84,3230978,$172.45,$179.00,$171.4341
02/21/2025,$172.86,4115420,$166.51,$175.29,$166.45
02/20/2025,$166.10,1527071,$163.70,$166.80,$163.00
02/19/2025,$163.90,1391979,$163.20,$164.13,$160.865
02/18/2025,$162.99,2976893,$155.99,$163.80,$154.25
02/14/2025,$157.88,1450515,$160.00,$160.875,$157.75
02/13/2025,$160.81,1632531,$157.75,$161.09,$157.49
02/12/2025,$158.08,1382853,$156.37,$158.33,$155.825
02/11/2025,$158.26,1890954,$153.80,$159.405,$153.49
02/10/2025,$154.47,1614873,$155.46,$155.8343,$153.00
02/07/2025,$154.93,2395036,$154.06,$156.56,$153.5539
02/06/2025,$152.34,4131715,$155.25,$156.69,$150.51
02/05/2025,$145.92,3897832,$141.00,$146.33,$140.13
02/04/2025,$144.74,2189568,$147.53,$147.54,$143.9501
02/03/2025,$147.79,1766275,$148.00,$148.98,$146.48
01/31/2025,$149.25,1977514,$150.00,$151.65,$147.66
01/30/2025,$152.14,1669659,$150.24,$152.21,$149.20
01/29/2025,$149.23,1217296,$150.30,$150.55,$148.54
01/28/2025,$149.73,1539016,$153.73,$154.2638,$149.30
01/27/2025,$153.72,2309817,$153.28,$155.59,$152.5001
01/24/2025,$150.71,1501467,$149.38,$151.5597,$147.60
01/23/2025,$149.89,1837909,$150.52,$151.5028,$148.7439
01/22/2025,$151.12,1563502,$153.60,$153.6099,$150.42
01/21/2025,$153.57,1744296,$153.00,$155.1999,$152.20
01/17/2025,$152.87,1937411,$153.47,$155.22,$152.122
01/16/2025,$154.02,1973399,$151.00,$155.02,$150.55
01/15/2025,$151.75,3584580,$155.31,$156.08,$150.31
01/14/2025,$155.31,2179990,$156.61,$157.27,$154.46
01/13/2025,$157.28,2731311,$159.17,$159.51,$156.90
01/10/2025,$158.20,3028045,$162.20,$162.90,$156.10
01/08/2025,$162.22,2833895,$165.00,$165.40,$159.87
01/07/2025,$165.52,1303137,$166.70,$169.00,$165.38
01/06/2025,$166.74,1387876,$168.44,$168.89,$165.78
01/03/2025,$169.03,932666,$169.03,$170.40,$167.95
01/02/2025,$168.79,864572,$171.20,$171.28,$167.6301
12/31/2024,$169.35,869929,$168.77,$169.90,$167.49
12/30/2024,$168.67,1771549,$171.62,$171.86,$167.52
12/27/2024,$171.76,1066265,$169.57,$172.12,$169.51
12/26/2024,$170.18,992477,$169.60,$172.2732,$169.00
12/24/2024,$170.49,429603,$169.00,$170.49,$167.96
12/23/2024,$169.00,1172883,$169.30,$170.21,$166.69
12/20/2024,$170.26,2535399,$169.21,$172.04,$168.585
12/19/2024,$168.94,1930419,$171.59,$172.44,$168.81
12/18/2024,$172.46,1837939,$175.50,$175.50,$171.87
12/17/2024,$177.63,1834510,$177.84,$181.56,$176.75
12/16/2024,$178.20,2241293,$182.10,$184.02,$177.25
12/13/2024,$183.10,1985580,$183.39,$184.43,$181.6901
12/12/2024,$183.95,3761748,$175.88,$184.52,$175.75
12/11/2024,$177.00,6250738,$178.65,$183.21,$174.28
12/10/2024,$187.19,5012355,$193.59,$196.82,$185.95
12/09/2024,$193.65,14377140,$174.05,$208.03,$173.61
12/06/2024,$174.70,2332272,$175.40,$177.02,$173.78
12/05/2024,$174.50,1953513,$177.28,$177.33,$173.05
12/04/2024,$177.87,4591594,$178.44,$185.00,$174.35
12/03/2024,$179.48,3986597,$177.34,$181.82,$176.22
12/02/2024,$177.82,2377768,$176.13,$178.58,$174.13
11/29/2024,$176.13,1525225,$173.93,$176.48,$173.42
11/27/2024,$174.09,1060573,$174.38,$175.75,$173.67
11/26/2024,$173.29,1307501,$175.21,$175.56,$172.29
11/25/2024,$175.54,2088242,$175.50,$177.375,$175.27
11/22/2024,$174.81,1458461,$175.94,$176.4099,$173.00
11/21/2024,$174.95,1225324,$174.00,$175.66,$173.21
